rank,school,year
865,"City, University of London",2021
866,Anhui University,2021
867,Murdoch University,2021
868,Chongqing Medical University,2021
869,University of Orléans,2021
870,Southern Illinois University Carbondale,2021
871,Babeș-Bolyai University,2021
872,University of Brasília,2021
873,Henan University,2021
874,University of Brighton,2021
875,Dongguk University,2021
876,National Centre for Nuclear Research,2021
877,University of Insubria,2021
878,University of Akron,2021
879,Hangzhou Normal University,2021
880,Iran University of Science and Technology,2021
881,National Research University Higher School of Economics,2021
882,Shandong University of Science and Technology,2021
883,China Pharmaceutical University,2021
884,National University of Malaysia (UKM),2021
885,Norwegian School of Economics,2021
886,Portland State University,2021
887,Budapest University of Technology and Economics,2021
888,Jaume I University,2021
889,University of Seoul,2021
890,Gachon University,2021
891,Polytechnic University of Bucharest,2021
892,Peter the Great St. Petersburg Polytechnic University,2021
893,New Mexico State University,2021
894,Nihon University,2021
895,University of Stirling,2021
896,Federal University of ABC,2021
897,University of Hyogo,2021
898,East Carolina University,2021
899,ShanghaiTech University,2021
900,Inje University,2021
901,"University of Technology, Malaysia",2021
902,Keele University,2021
903,University of Valladolid,2021
904,Michigan Technological University,2021
905,Guangxi University,2021
906,North Dakota State University,2021
907,Ningbo University,2021
908,University of Portsmouth,2021
909,London Business School,2021
910,Institut national de la recherche scientifique,2021
911,Oberlin College,2021
912,Federal University of Viçosa,2021
913,Çukurova University,2021
914,University of Windsor,2021
915,Tokushima University,2021
916,Missouri University of Science and Technology,2021
917,University of Poitiers,2021
918,Paul Valéry University,2021
919,"University of Science and Technology, Korea",2021
920,Zhejiang Normal University,2021
921,Ulster University,2021
922,Northumbria University,2021
923,Meijo University,2021
924,North-West University,2021
925,Shandong First Medical University & Shandong Academy of Medical Sciences,2021
926,Johannes Kepler University Linz,2021
927,V.A. Engelhardt Institute of Molecular Biology of the Russian Academy of Sciences,2021
928,Pepperdine University,2021
929,Federal University of Ceará,2021
930,Federal University of Pelotas,2021
931,Gabriele d’Annunzio University,2021
932,Ritsumeikan University,2021
933,Claremont McKenna College,2021
934,Makerere University,2021
935,Shiraz University,2021
936,Bucknell University,2021
937,Chungbuk National University,2021
938,Indian Institute of Technology Guwahati,2021
939,"University of the Republic, Uruguay",2021
940,Bilkent University,2021
941,National University of Córdoba,2021
942,Sanford Burnham Prebys Medical Discovery Institute,2021
943,Medical University of Warsaw,2021
944,Chiang Mai University,2021
945,Khalifa University,2021
946,Mohammed V University,2021
947,Colgate University,2021
948,New Jersey Institute of Technology,2021
949,Lappeenranta University of Technology,2021
950,Tokyo University of Agriculture and Technology,2021
951,University of Regina,2021
952,Tunis El Manar University,2021
953,Anhui Medical University,2021
