排名,学校,毕业后五年月薪
565,山东服装职业学院,6452
566,甘肃林业职业技术学院,6451
567,连云港职业技术学院,6449
568,哈尔滨职业技术学院,6449
569,苏州港大思培科技职业学院,6445
570,兰州资源环境职业技术学院,6445
571,江阴职业技术学院,6442
572,浙江国际海运职业技术学院,6440
573,郑州电力职业技术学院,6439
574,广安职业技术学院,6436
575,江苏农林职业技术学院,6435
576,眉山职业技术学院,6433
577,辽宁省交通高等专科学校,6427
578,包头钢铁职业技术学院,6425
579,衢州职业技术学院,6425
580,山西体育职业学院,6423
581,长春金融高等专科学校,6420
582,威海职业学院,6419
583,宜宾职业技术学院,6419
584,上海民远职业技术学院,6414
585,三峡电力职业学院,6413
586,枣庄科技职业学院,6411
587,滨州职业学院,6409
588,西安航空职工大学,6408
589,黑龙江公安警官职业学院,6408
590,连云港师范高等专科学校,6407
591,太湖创意职业技术学院,6407
592,湖南水利水电职业技术学院,6405
593,成都农业科技职业学院,6403
594,济南工程职业技术学院,6397
595,郑州旅游职业学院,6394
596,抚顺师范高等专科学校,6390
597,黑龙江生态工程职业学院,6373
598,乌兰察布职业学院,6370
599,聊城职业技术学院,6367
600,三亚城市职业学院,6367
601,山东商业职业技术学院,6366
602,无锡南洋职业技术学院,6361
603,辽宁广告职业学院,6357
604,山东电力高等专科学校,6356
605,山西工程职业学院,6355
606,漳州城市职业学院,6354
607,西安城市建设职业学院,6353
608,苏州健雄职业技术学院,6352
609,河北司法警官职业学院,6349
610,山西信息职业技术学院,6348
611,哈尔滨传媒职业学院,6347
612,天津国土资源和房屋职业学院,6346
613,苏州经贸职业技术学院,6344
614,安徽警官职业学院,6343
615,福建农业职业技术学院,6343
616,罗定职业技术学院,6338
617,郑州澍青医学高等专科学校,6334
618,四川科技职业学院,6333
619,柳州职业技术学院,6332
620,福建林业职业技术学院,6330
621,日照职业技术学院,6328
622,河北青年管理干部学院,6326
623,山东中医药高等专科学校,6326
624,江西电力职业技术学院,6322
625,宁德职业技术学院,6317
626,四川商务职业学院,6316
627,江苏省青年管理干部学院,6314
628,黑龙江粮食职业学院,6313
629,甘肃农业职业技术学院,6307
630,湖北中医药高等专科学校,6302
631,锡林郭勒职业学院,6300
632,淄博职业学院,6299
633,河南医学高等专科学校,6296
634,大兴安岭职业学院,6293
635,黑龙江农业工程职业学院,6292
636,广西体育高等专科学校,6284
637,四川财经职业学院,6282
638,乌鲁木齐职业大学,6274
639,辽宁建筑职业学院,6274
640,金山职业技术学院,6273
